uid,vid,rate,time
454,283,3,395
717,222,3,396
383,51,2,397
850,366,2,398
143,372,3,399
68,98,3,400
395,24,3,401
947,378,3,402
468,483,2,403
564,150,3,404
143,56,3,405
38,108,3,406
692,41,3,407
185,422,3,408
397,222,3,409
633,132,3,410
162,214,3,411
732,234,3,412
842,145,3,413
750,75,3,414
8,73,3,415
953,491,4,416
912,252,3,417
229,6,3,418
173,140,3,419
167,169,2,420
392,433,3,421
794,121,4,422
193,4,2,423
28,164,3,424
421,338,4,425
647,495,3,426
364,320,4,427
341,499,3,428
656,326,3,429
216,300,3,430
131,291,3,431
69,251,3,432
414,274,2,433
444,363,3,434
181,166,3,435
90,201,3,436
857,18,3,437
38,125,3,438
450,172,2,439
652,241,3,440
219,125,4,441
57,147,3,442
475,455,3,443
828,382,3,444
360,422,3,445
0,386,3,446
972,347,3,447
189,190,3,448
507,368,2,449
408,311,3,450
928,421,3,451
116,133,4,452
57,43,3,453
684,159,2,454
172,316,3,455
814,148,3,456
79,373,4,457
212,202,2,458
763,228,2,459
675,226,3,460
658,19,3,461
440,401,3,462
46,232,3,463
304,13,3,464
142,414,3,465
512,372,3,466
565,373,4,467
258,143,3,468
470,440,3,469
970,11,3,470
329,223,3,471
783,455,3,472
357,459,3,473
407,155,3,474
372,7,3,475
121,347,3,476
675,89,4,477
647,185,3,478
315,177,3,479
539,219,4,480
868,40,2,481
739,191,3,482
922,446,4,483
144,200,3,484
928,211,3,485
460,219,4,486
751,412,3,487
908,45,4,488
546,252,3,489
389,81,2,490
882,255,2,491
708,302,2,492
920,449,3,493
9,311,3,494
797,241,2,495
250,364,3,496
4,118,3,497
800,373,4,498
64,145,3,499
223,238,4,500
176,266,3,501
852,281,1,502
62,216,3,503
853,314,3,504
794,176,3,505
460,416,2,506
609,104,3,507
98,384,3,508
404,495,3,509
822,5,3,510
475,464,3,511
708,350,2,512
644,357,2,513
770,436,3,514
22,484,3,515
564,164,2,516
713,457,3,517
82,144,2,518
84,77,3,519
456,365,2,520
0,50,3,521
684,204,2,522
771,445,3,523
448,368,3,524
487,287,3,525
33,347,1,526
94,71,3,527
550,153,3,528
249,161,3,529
437,117,3,530
770,378,3,531
305,267,4,532
960,53,2,533
235,388,3,534
989,221,3,535
762,312,2,536
400,111,2,537
766,302,2,538
918,206,3,539
228,340,3,540
909,65,3,541
74,434,4,542
102,421,3,543
703,251,4,544
737,293,3,545
305,97,3,546
849,285,4,547
334,346,3,548
434,446,3,549
993,307,4,550
248,165,3,551
480,471,3,552
334,29,3,553
758,105,3,554
562,80,4,555
132,284,3,556
899,137,3,557
183,400,2,558
329,272,3,559
507,339,3,560
983,68,2,561
545,261,2,562
52,449,4,563
204,125,2,564
746,42,2,565
751,458,2,566
882,110,3,567
760,150,4,568
182,335,2,569
94,458,3,570
373,399,2,571
519,387,3,572
359,387,3,573
695,280,4,574
194,351,3,575
194,154,2,576
92,159,3,577
945,60,3,578
633,50,3,579
402,276,4,580
4,465,2,581
603,169,4,582
828,21,3,583
404,325,3,584
512,132,4,585
232,11,3,586
345,45,4,587
545,432,4,588
77,217,3,589
812,410,3,590
72,281,3,591
248,46,2,592
120,213,3,593
238,55,3,594
349,106,3,595
830,47,2,596
572,336,3,597
25,291,3,598
256,7,3,599
624,354,3,600
252,179,2,601
718,302,4,602
638,55,3,603
725,13,3,604
473,27,3,605
982,77,3,606
215,385,3,607
364,153,4,608
525,186,4,609
311,370,4,610
6,2,3,611
622,406,3,612
749,362,3,613
750,492,3,614
273,293,3,615
738,370,3,616
14,191,3,617
984,118,4,618
484,27,3,619
713,38,3,620
952,272,3,621
230,85,3,622
473,125,3,623
811,24,2,624
144,12,3,625
211,24,2,626
579,393,3,627
66,232,3,628
108,145,3,629
110,227,3,630
110,469,3,631
33,110,4,632
775,423,4,633
368,235,4,634
594,41,3,635
424,100,3,636
517,179,2,637
281,319,2,638
737,442,3,639
951,314,3,640
876,453,3,641
740,376,3,642
288,436,3,643
661,276,3,644
709,69,4,645
502,111,3,646
515,349,2,647
842,445,3,648
829,349,2,649
606,151,3,650
822,136,4,651
758,386,3,652
242,30,3,653
39,228,4,654
547,407,3,655
222,5,3,656
321,467,2,657
731,74,3,658
3,334,3,659
645,117,3,660
880,93,3,661
503,485,3,662
946,61,3,663
440,193,3,664
846,202,4,665
391,25,3,666
434,172,3,667
299,132,2,668
325,409,3,669
117,323,2,670
786,211,3,671
224,19,3,672
112,139,3,673
558,0,4,674
89,141,2,675
319,37,3,676
804,381,3,677
138,355,3,678
844,490,3,679
258,160,3,680
901,177,3,681
9,260,3,682
918,137,3,683
171,385,2,684
12,167,4,685
641,83,3,686
320,318,4,687
612,328,3,688
784,264,3,689
970,398,4,690
919,37,4,691
418,93,3,692
94,304,3,693
580,317,3,694
955,235,3,695
945,333,4,696
884,375,3,697
458,136,4,698
929,75,3,699
994,34,3,700
512,295,3,701
319,405,2,702
571,319,3,703
348,327,3,704
778,360,4,705
228,269,2,706
827,285,3,707
290,212,3,708
164,4,4,709
850,378,3,710
77,409,3,711
573,131,3,712
600,236,3,713
41,88,2,714
401,295,2,715
839,294,2,716
615,13,3,717
799,178,3,718
636,421,4,719
864,22,2,720
574,142,3,721
992,152,4,722
144,224,3,723
502,449,3,724
973,308,3,725
615,103,4,726
946,38,3,727
946,197,3,728
645,66,3,729
390,178,2,730
967,41,3,731
447,499,4,732
14,110,4,733
668,288,3,734
477,230,4,735
922,419,3,736
156,37,4,737
440,96,3,738
996,410,3,739
950,288,3,740
253,195,3,741
597,321,2,742
521,4,4,743
634,329,4,744
864,117,3,745
805,396,4,746
158,302,3,747
227,364,2,748
215,435,3,749
695,14,3,750
156,135,4,751
260,156,3,752
46,323,2,753
843,172,3,754
129,410,3,755
94,114,2,756
754,419,3,757
291,281,4,758
810,282,3,759
68,147,3,760
10,253,3,761
841,359,3,762
549,133,2,763
711,22,3,764
814,345,3,765
301,362,3,766
395,217,3,767
140,103,3,768
957,209,4,769
984,480,2,770
622,103,3,771
827,170,4,772
459,491,3,773
355,495,3,774
323,132,4,775
887,292,3,776
839,126,3,777
105,496,3,778
603,286,4,779
377,392,2,780
50,28,4,781
461,295,3,782
296,213,3,783
778,406,3,784
768,301,2,785
612,404,3,786
345,109,3,787
419,181,3,788
982,312,4,789
0,318,3,790
949,54,2,791
370,423,3,792
910,148,3,793
430,456,4,794
308,136,3,795
201,435,4,796
312,116,3,797
665,424,3,798
802,62,4,799
243,24,4,800
601,74,4,801
902,209,2,802
474,417,2,803
346,16,3,804
639,426,3,805
954,363,3,806
762,178,2,807
181,151,3,808
24,454,3,809
179,197,3,810
500,343,3,811
160,176,3,812
284,62,4,813
661,153,3,814
155,369,3,815
468,48,3,816
966,336,3,817
83,360,3,818
688,147,4,819
629,341,4,820
475,62,3,821
700,359,4,822
560,326,3,823
768,223,3,824
140,477,3,825
214,434,3,826
890,439,2,827
722,317,3,828
31,157,3,829
284,304,3,830
428,476,3,831
285,143,3,832
423,18,3,833
17,256,3,834
589,370,2,835
174,497,4,836
193,475,2,837
112,113,3,838
221,165,3,839
946,318,3,840
643,384,4,841
263,412,4,842
54,358,2,843
642,287,4,844
777,457,2,845
978,365,3,846
161,379,4,847
992,86,3,848
54,475,3,849
799,177,3,850
390,348,2,851
7,320,3,852
312,246,3,853
834,471,3,854
982,442,2,855
766,327,3,856
53,248,3,857
238,228,4,858
578,50,2,859
608,91,4,860
263,417,4,861
802,95,4,862
87,77,3,863
287,119,4,864
813,490,4,865
911,451,2,866
499,164,3,867
181,468,3,868
909,222,4,869
822,431,4,870
977,6,3,871
329,262,3,872
672,150,3,873
84,146,3,874
623,380,3,875
914,35,2,876
284,187,2,877
81,1,3,878
896,302,3,879
708,403,3,880
522,233,3,881
385,194,4,882
470,118,2,883
395,19,3,884
260,292,3,885
933,255,3,886
733,392,4,887
225,52,3,888
939,354,3,889
499,341,3,890
363,279,4,891
592,201,2,892
157,119,3,893
58,493,3,894
726,127,4,895
735,208,2,896
881,114,3,897
208,13,3,898
520,39,3,899
961,236,3,900
280,358,3,901
200,245,3,902
277,234,3,903
493,3,3,904
665,441,3,905
28,108,3,906
609,214,3,907
804,74,3,908
837,145,3,909
127,340,3,910
41,355,4,911
40,421,3,912
33,16,3,913
676,152,3,914
997,377,2,915
587,86,2,916
628,361,3,917
341,468,3,918
26,312,4,919
286,133,4,920
730,167,3,921
609,267,4,922
748,308,3,923
454,393,3,924
684,400,2,925
921,468,4,926
475,189,3,927
633,45,3,928
575,129,3,929
821,362,4,930
704,306,3,931
692,291,3,932
370,281,3,933
28,148,4,934
778,295,2,935
10,163,3,936
112,186,3,937
806,231,4,938
226,309,2,939
97,54,3,940
622,151,3,941
757,405,3,942
68,311,3,943
288,249,3,944
547,238,3,945
147,466,3,946
738,243,3,947
490,336,3,948
957,364,3,949
481,200,3,950
153,449,3,951
500,72,4,952
712,295,3,953
16,128,3,954
216,60,4,955
938,103,2,956
41,24,4,957
38,290,3,958
130,497,3,959
228,107,3,960
171,434,3,961
477,101,3,962
865,11,4,963
274,100,3,964
43,442,3,965
816,444,2,966
16,329,3,967
568,310,3,968
496,302,2,969
11,317,3,970
591,215,4,971
338,263,3,972
990,148,2,973
80,214,3,974
484,373,3,975
975,197,3,976
199,24,2,977
465,88,2,978
267,142,4,979
570,409,3,980
488,364,3,981
537,46,3,982
287,265,3,983
15,198,3,984
400,406,3,985
793,468,3,986
85,249,3,987
390,269,2,988
334,116,2,989
518,136,4,990
882,175,3,991
839,497,3,992
826,214,3,993
476,81,3,994
222,477,3,995
371,422,3,996
994,401,4,997
442,489,3,998
614,272,2,999
525,158,3,1000
151,482,4,1001
619,187,3,1002
812,97,3,1003
130,292,3,1004
170,423,2,1005
985,182,3,1006
982,363,3,1007
38,14,3,1008
887,496,3,1009
515,348,3,1010
981,408,3,1011
396,209,3,1012
160,15,4,1013
492,425,3,1014
107,381,3,1015
449,310,3,1016
738,169,3,1017
545,413,3,1018
250,246,3,1019
780,140,3,1020
273,415,3,1021
607,226,3,1022
890,38,3,1023
813,499,4,1024
28,445,3,1025
476,317,4,1026
244,235,3,1027
696,271,3,1028
439,235,3,1029
238,376,2,1030
265,413,3,1031
920,358,2,1032
339,388,2,1033
576,477,4,1034
688,2,3,1035
428,141,3,1036
375,157,3,1037
323,145,3,1038
957,292,3,1039
664,431,4,1040
704,436,3,1041
974,72,3,1042
398,304,3,1043
888,343,3,1044
963,139,2,1045
186,292,3,1046
60,484,3,1047
938,379,3,1048
709,294,4,1049
439,318,3,1050
301,343,4,1051
10,61,3,1052
844,225,4,1053
152,198,3,1054
563,259,2,1055
570,71,3,1056
659,348,2,1057
574,309,2,1058
884,242,2,1059
492,365,4,1060
329,106,4,1061
225,312,2,1062
217,424,3,1063
752,258,2,1064
887,261,2,1065
516,260,2,1066
53,46,3,1067
726,176,3,1068
520,98,3,1069
19,377,2,1070
752,60,3,1071
890,489,2,1072
418,177,4,1073
849,61,3,1074
144,215,4,1075
2,159,3,1076
738,485,3,1077
780,119,3,1078
892,494,3,1079
88,328,3,1080
579,397,3,1081
356,97,3,1082
266,104,3,1083
951,322,3,1084
634,475,3,1085
540,136,3,1086
194,408,3,1087
737,331,3,1088
169,8,3,1089
462,39,3,1090
536,260,3,1091
394,442,3,1092
225,471,3,1093
123,462,3,1094
37,327,3,1095
250,388,3,1096
175,89,3,1097
913,453,3,1098
36,315,3,1099
687,460,2,1100
795,452,4,1101
972,80,3,1102
113,39,3,1103
300,223,3,1104
317,348,3,1105
114,185,4,1106
322,55,3,1107
39,353,2,1108
39,346,3,1109
972,236,3,1110
288,261,2,1111
215,146,3,1112
335,167,2,1113
91,352,3,1114
570,58,3,1115
815,168,2,1116
780,362,3,1117
556,344,4,1118
692,169,3,1119
355,190,3,1120
666,421,3,1121
699,6,2,1122
132,234,2,1123
556,313,3,1124
760,498,3,1125
30,22,3,1126
425,393,2,1127
671,362,3,1128
436,157,3,1129
550,414,4,1130
81,355,3,1131
257,205,2,1132
588,476,4,1133
523,294,3,1134
961,223,3,1135
524,45,3,1136
666,112,3,1137
232,16,4,1138
359,222,3,1139
865,187,2,1140
447,343,3,1141
364,162,3,1142
325,466,3,1143
413,454,3,1144
585,232,3,1145
223,481,3,1146
830,411,4,1147
571,334,3,1148
221,36,2,1149
988,277,3,1150
195,403,4,1151
863,483,2,1152
241,323,3,1153
730,191,3,1154
16,11,3,1155
917,400,3,1156
905,373,3,1157
704,21,3,1158
473,119,4,1159
209,305,3,1160
269,191,3,1161
686,284,3,1162
715,163,3,1163
762,226,3,1164
947,380,4,1165
459,6,4,1166
28,394,4,1167
32,133,4,1168
878,78,3,1169
927,434,3,1170
458,57,3,1171
982,25,2,1172
481,429,4,1173
737,284,4,1174
515,464,3,1175
98,396,3,1176
488,38,3,1177
270,374,2,1178
796,156,3,1179
74,371,3,1180
799,129,3,1181
686,461,2,1182
83,21,3,1183
458,26,2,1184
706,336,3,1185
381,235,3,1186
439,91,3,1187
988,20,2,1188
302,463,3,1189
868,442,3,1190
83,261,3,1191
658,440,3,1192
452,386,4,1193
506,256,4,1194
569,379,3,1195
933,14,3,1196
161,444,4,1197
162,319,3,1198
792,279,3,1199
523,273,3,1200
270,491,3,1201
207,26,4,1202
583,59,3,1203
429,472,3,1204
656,92,3,1205
308,7,3,1206
590,26,3,1207
685,49,3,1208
198,386,3,1209
348,447,2,1210
939,180,3,1211
535,315,2,1212
377,386,3,1213
915,45,3,1214
526,152,3,1215
733,205,2,1216
454,272,3,1217
893,235,4,1218
851,227,4,1219
520,165,3,1220
943,443,3,1221
830,213,3,1222
500,116,3,1223
385,343,3,1224
583,394,2,1225
63,204,3,1226
720,71,3,1227
788,273,3,1228
989,319,2,1229
337,365,3,1230
494,94,4,1231
165,31,3,1232
10,300,3,1233
728,288,3,1234
101,424,3,1235
391,266,2,1236
213,178,3,1237
87,40,3,1238
400,75,3,1239
888,45,3,1240
671,462,3,1241
591,309,3,1242
85,91,3,1243
659,160,3,1244
713,423,3,1245
927,241,4,1246
864,1,3,1247
224,288,4,1248
744,460,3,1249
925,416,2,1250
588,115,3,1251
665,405,2,1252
102,193,4,1253
165,358,2,1254
89,173,3,1255
121,497,4,1256
142,481,2,1257
105,374,3,1258
427,304,4,1259
871,458,2,1260
316,450,3,1261
634,389,3,1262
8,261,3,1263
72,358,4,1264
222,415,3,1265
552,369,3,1266
715,263,3,1267
839,177,4,1268
859,317,3,1269
83,317,4,1270
110,250,3,1271
382,6,4,1272
458,83,3,1273
207,387,3,1274
389,313,5,1275
21,409,3,1276
894,2,3,1277
126,296,2,1278
699,361,3,1279
13,458,2,1280
977,11,3,1281
86,11,2,1282
908,24,3,1283
300,242,2,1284
121,146,4,1285
566,237,4,1286
355,172,2,1287
903,220,3,1288
630,308,3,1289
694,287,3,1290
306,299,3,1291
593,453,3,1292
913,210,4,1293
661,36,2,1294
351,311,3,1295
872,58,3,1296
642,411,3,1297
713,242,3,1298
34,444,2,1299
92,437,3,1300
958,206,3,1301
352,390,1,1302
331,304,3,1303
861,212,3,1304
158,441,3,1305
956,23,3,1306
403,292,3,1307
515,219,3,1308
363,381,3,1309
531,443,3,1310
151,49,2,1311
688,434,4,1312
607,104,3,1313
419,249,3,1314
116,353,4,1315
511,227,3,1316
577,334,3,1317
417,419,3,1318
773,294,4,1319
937,242,3,1320
370,185,3,1321
245,124,2,1322
267,130,3,1323
236,17,3,1324
551,20,4,1325
910,224,3,1326
866,281,3,1327
519,99,3,1328
751,477,3,1329
598,297,3,1330
939,13,3,1331
333,1,3,1332
374,292,3,1333
836,421,3,1334
552,317,3,1335
501,315,3,1336
380,110,4,1337
13,230,3,1338
984,83,2,1339
129,230,4,1340
837,144,3,1341
890,344,3,1342
27,65,3,1343
162,228,2,1344
260,448,4,1345
423,459,3,1346
951,163,2,1347
300,406,3,1348
302,286,4,1349
394,9,2,1350
706,117,3,1351
269,79,4,1352
969,92,3,1353
777,331,2,1354
861,360,4,1355
256,132,3,1356
275,263,3,1357
682,459,3,1358
512,312,2,1359
575,373,3,1360
979,283,3,1361
120,106,3,1362
932,174,3,1363
996,203,4,1364
164,304,3,1365
496,119,4,1366
555,311,2,1367
155,366,4,1368
718,389,3,1369
619,250,3,1370
956,403,3,1371
881,333,3,1372
641,456,3,1373
510,292,3,1374
19,281,4,1375
796,0,3,1376
118,34,3,1377
197,484,3,1378
756,58,2,1379
836,160,3,1380
690,205,2,1381
11,489,3,1382
275,180,2,1383
241,215,3,1384
250,298,2,1385
125,481,3,1386
216,305,2,1387
796,184,4,1388
38,222,3,1389
183,494,4,1390
426,177,3,1391
918,427,4,1392
293,339,3,1393
150,383,2,1394
637,300,3,1395
307,335,4,1396
945,233,2,1397
891,374,4,1398
7,497,2,1399
340,128,3,1400
775,156,2,1401
351,357,4,1402
516,494,4,1403
85,174,3,1404
801,192,3,1405
310,118,2,1406
217,426,3,1407
969,413,3,1408
113,465,3,1409
144,25,3,1410
647,302,3,1411
743,368,2,1412
587,474,4,1413
839,344,3,1414
813,451,4,1415
800,0,2,1416
146,286,4,1417
975,141,4,1418
52,303,4,1419
68,360,3,1420
601,445,3,1421
219,449,4,1422
703,453,3,1423
574,72,3,1424
160,168,3,1425
88,175,3,1426
780,72,3,1427
756,76,2,1428
158,488,3,1429
970,323,3,1430
609,380,3,1431
101,493,3,1432
643,101,3,1433
18,453,3,1434
481,81,3,1435
396,488,3,1436
278,338,4,1437
364,330,3,1438
640,343,3,1439
821,454,4,1440
600,212,3,1441
654,64,3,1442
75,198,3,1443
142,404,3,1444
914,315,2,1445
604,472,3,1446
416,304,4,1447
735,496,2,1448
290,427,3,1449
101,473,3,1450
266,354,3,1451
967,109,4,1452
973,329,3,1453
961,429,4,1454
776,2,4,1455
84,281,3,1456
327,303,3,1457
449,453,3,1458
923,116,3,1459
220,153,3,1460
664,11,3,1461
132,481,3,1462
303,292,3,1463
974,299,4,1464
739,270,3,1465
42,431,3,1466
342,325,3,1467
813,497,3,1468
363,378,4,1469
426,492,3,1470
20,406,3,1471
618,335,3,1472
814,116,3,1473
123,398,3,1474
792,291,3,1475
714,50,3,1476
782,323,2,1477
788,140,3,1478
469,274,3,1479
801,333,3,1480
892,451,3,1481
372,51,3,1482
493,26,3,1483
668,238,2,1484
155,290,3,1485
647,143,3,1486
105,419,3,1487
669,145,3,1488
1,432,4,1489
588,131,3,1490
89,344,3,1491
349,458,3,1492
262,350,4,1493
107,73,3,1494
38,396,3,1495
158,70,3,1496
958,311,3,1497
240,425,3,1498
444,297,3,1499
951,35,3,1500
83,451,4,1501
885,262,3,1502
821,384,2,1503
171,375,4,1504
684,361,2,1505
558,378,3,1506
140,374,2,1507
917,117,3,1508
276,213,3,1509
219,392,4,1510
25,8,2,1511
782,9,2,1512
983,377,2,1513
632,124,3,1514
681,71,4,1515
151,207,2,1516
48,153,2,1517
858,292,3,1518
579,49,3,1519
663,18,2,1520
611,59,3,1521
166,201,4,1522
856,145,3,1523
914,163,2,1524
969,480,3,1525
438,241,3,1526
580,174,3,1527
560,482,3,1528
107,225,3,1529
672,118,3,1530
660,464,3,1531
661,431,3,1532
804,142,3,1533
418,475,2,1534
454,159,4,1535
522,137,3,1536
968,77,2,1537
76,440,2,1538
253,408,3,1539
769,319,3,1540
802,262,3,1541
596,145,3,1542
834,41,3,1543
373,124,4,1544
166,424,3,1545
752,458,2,1546
998,279,3,1547
699,301,2,1548
530,67,4,1549
217,101,3,1550
553,287,4,1551
166,108,3,1552
35,231,3,1553
740,352,3,1554
675,386,3,1555
72,135,3,1556
352,378,3,1557
69,424,4,1558
998,195,3,1559
780,48,3,1560
827,129,2,1561
955,4,3,1562
427,26,4,1563
159,148,2,1564
775,229,3,1565
711,49,2,1566
66,299,3,1567
380,57,3,1568
258,341,2,1569
837,129,4,1570
726,171,2,1571
769,101,4,1572
208,290,4,1573
353,470,3,1574
797,115,3,1575
263,149,3,1576
811,441,3,1577
547,452,4,1578
844,476,2,1579
286,302,3,1580
310,207,4,1581
617,445,3,1582
669,120,3,1583
54,399,4,1584
11,144,3,1585
399,395,3,1586
647,467,4,1587
514,143,3,1588
541,236,3,1589
278,347,3,1590
626,103,4,1591
629,4,3,1592
979,359,2,1593
247,363,3,1594
320,120,3,1595
285,148,3,1596
83,453,3,1597
405,465,3,1598
455,230,4,1599
799,160,3,1600
783,459,3,1601
549,499,3,1602
737,141,4,1603
803,480,3,1604
662,113,3,1605
748,65,3,1606
360,340,3,1607
769,474,3,1608
760,456,3,1609
448,330,3,1610
834,179,3,1611
701,406,3,1612
665,195,3,1613
465,310,2,1614
261,418,3,1615
405,426,4,1616
142,341,3,1617
315,100,3,1618
243,489,3,1619
11,238,3,1620
560,41,4,1621
677,81,2,1622
428,290,4,1623
157,215,2,1624
669,461,2,1625
133,66,3,1626
847,6,2,1627
947,13,4,1628
72,398,4,1629
404,162,4,1630
577,346,4,1631
129,418,4,1632
465,205,3,1633
787,465,3,1634
767,265,3,1635
536,449,3,1636
792,252,3,1637
821,288,2,1638
163,94,2,1639
781,320,4,1640
109,335,3,1641
821,237,3,1642
380,435,3,1643
898,482,2,1644
936,389,3,1645
24,140,2,1646
116,481,3,1647
391,404,3,1648
993,451,2,1649
536,78,3,1650
579,172,3,1651
955,11,3,1652
799,127,2,1653
607,91,3,1654
652,30,3,1655
845,19,3,1656
657,476,2,1657
827,446,3,1658
389,159,4,1659
860,42,3,1660
253,129,3,1661
59,150,2,1662
466,286,4,1663
